,importance
cat_name_encoded,0.3164283255643433
prep_days,0.08506382368161079
cat_parent_encoded,0.061625820734459894
duration_days,0.061207104135862805
log_goal,0.0537439201512814
goal_per_day,0.05354675101054663
log_goal_vs_cat_median,0.05226968894120258
has_video,0.04141913249747228
name_length,0.03317458228434417
blurb_word_count,0.029542583677328375
blurb_length,0.029354773062736123
launched_month,0.017669517812865566
launched_dayofweek,0.01676078634419546
goal_is_round,0.01668594976799384
name_number,0.00889162519046427
country_IT,0.005568210047968361
country_GB,0.005492472642715018
country_US,0.005008051911342002
is_usd,0.004992855325639337
blurb_has_able,0.004836158198206078
blurb_has_com,0.0042406643158101635
blurb_has_featuring,0.00348961050454714
country_CA,0.0033864794265637964
blurb_has_want,0.003299605404570648
blurb_has_pi,0.003201363563917679
blurb_has_car,0.0028678609162026336
country_MX,0.002455160079769874
blurb_has_product,0.0023089613459940147
blurb_has_pin,0.0022754592062029697
name_has_enamel,0.0022330796544405267
name_has_enamel_pin,0.0020271533401422805
blurb_has_start,0.001988033340025119
blurb_has_zine,0.001974456017091451
name_has_com,0.0019249372144145584
blurb_has_edition,0.0018748778340051979
country_DE,0.001786523194709467
blurb_has_issue,0.0017642702900382307
country_AU,0.0017259960760851803
country_Other,0.0017144574458439212
blurb_has_press,0.0016076808211235463
blurb_has_business,0.0015113809910310414
country_DK,0.0013169011583470192
country_HK,0.0012994915695573625
country_FR,0.0012818634061686873
name_has_zine,0.0012692937418713696
blurb_has_news,0.0012592074562763867
name_has_ii,0.001252472972457135
blurb_has_enamel,0.001230144822490165
country_NL,0.0012014926513296902
blurb_has_san,0.001065199210125098
name_has_vol,0.0009998862779140299
blurb_has_aim,0.0009924884621037016
blurb_has_exhibition,0.0009870119771397433
country_SE,0.0008979744513088715
blurb_has_pet,0.0008887211693295584
blurb_has_website,0.0008813345641835339
blurb_has_worship,0.0008308777427672102
name_has_make_100,0.0008232577302781547
blurb_has_final,0.0008193238019902428
country_ES,0.0008133701653892082
blurb_has_theatre,0.0008084139189299963
blurb_has_2nd,0.0008020550450843175
blurb_has_jewelry,0.0007943908178097744
blurb_has_service,0.0007772636815648556
blurb_has_looking,0.0007765446172478631
name_has_edition,0.0007697552780283646
name_has_volume,0.0007357112083514729
name_has_set,0.0007246385653808568
blurb_has_idea,0.0007104028531993019
blurb_has_items,0.0007074812415468954
name_has_tea,0.0006885198743095242
blurb_has_wild,0.0006563878936480068
name_has_calendar,0.000635728016857719
blurb_has_talent,0.000599513686900558
blurb_has_webcomic,0.0005872474508549147
blurb_has_fiction,0.0005871705238566076
blurb_has_trying,0.0005861020492397212
name_has_hard,0.0005788135949910927
blurb_has_brand_new,0.0005741838945641215
name_has_enamel_pins,0.000555346869915714
blurb_has_celebrating,0.0005450301650438005
name_has_season,0.0005236069850277923
blurb_has_presents,0.0005099145907473796
blurb_has_equipment,0.0004913618581365941
blurb_has_entertainment,0.00043300657058351343
blurb_has_radio,0.00042954797977726785
blurb_has_youtube,0.00042613314394425954
name_has_organic,0.0004251688029591759
blurb_has_raise_money,0.0004112418357557241
blurb_has_installation,0.0004035406372693464
blurb_has_collaboration,0.0003910998043324775
name_has_limited,0.00038567462660593963
blurb_has_edinburgh,0.0003572313579248326
blurb_has_award,0.0003488878350982211
blurb_has_queer,0.0003413690817191918
name_has_radio,0.0003295447714177464
name_has_science,0.00032053350431723843
blurb_has_enamel_pins,0.00031530528097683516
blurb_has_sell,0.00029441274946139044
blurb_has_fringe,0.00029290329043820925
blurb_has_hard_enamel,0.0002909580628634959
blurb_has_social_media,0.00027781135588309994
name_has_exhibition,0.0002764052560945958
name_has_funding,0.00026513467928601387
name_has_brewing,0.00025804541446460943
blurb_has_driven,0.0002523640227680463
blurb_has_annual,0.0002488013957565592
blurb_has_exploration,0.0002462677837358529
name_has_issue,0.00022968833919289597
name_has_presents,0.00022598787706562602
name_has_cards,0.00022571374174141902
blurb_has_selling,0.00021558494288972634
blurb_has_southern,0.00021524769602989294
blurb_has_starting,0.00021229304742745883
name_has_length_album,0.0002097787443683762
blurb_has_downtown,0.00018896923639580873
name_has_fringe,0.0001865349139017524
name_has_media,0.00018595678774533644
name_has_fine,0.00017989939574378124
blurb_has_arduino,0.00016152874905200033
blurb_has_limited_edition,0.00015329669213561852
blurb_has_nyc,0.00012433246947974208
blurb_has_currently,0.00012003791233171194
name_has_business,9.801584999542551e-05
blurb_has_volume,8.634161209880352e-05
name_has_fundraiser,7.651076012302085e-05
blurb_has_hello,5.406680418139872e-05
blurb_has_connection,5.27832072946302e-05
blurb_has_want_create,0.0
